content,sentiment
gw dapet tim gak percaya game mending hok aja positif percaya gw game jelek hok hok positif season muncul nambah dark sistem hapus aye dark sistem nya moonton men w pindah hok,negatif
game nya positif positif mabar kasih bintang,positif
positif,positif
moontonnn tolol gw kasih ls mulu anjinggg,negatif
game positif,positif
gw spam afk overdrive makasih moonton karna afk overdrive gak kena report,negatif
dark system,negatif
positif moba positif,positif
perfect,positif
game jelek kalo positif sinyal bagusin bodooh,positif
scam,negatif
bagus ml hok,positif
positif,positif
apk orang negatif tolong kasar,negatif
positif jelek,negatif
wow,positif
positif,positif
positif,positif
gem nya positif,positif
positif,positif
game ramah kasar terkadang main positif greget tantang kadang emosi karna team bolot kali mythic,positif
game nya positif,positif
main rating,positif
woi kasih win ajink lose mlu kerja monton ashu mytik aja susah anjik,positif
tolong bantu gimana game mlbb ku gk buka cuman mentok loading moonton mobile legend bangbang doang gitu ulang ulang bolak pliss bantu masuk gamenya tolonggggg,negatif
positif,positif
pelit skin,positif
positif,positif
josss makan gratis,positif
nais,positif
happy birthday,positif
,negatif
positif,positif
kasih skin epic gratis bintang,positif
emng negatif game,positif
gamenya positif negatif bintang mlbb moga sukses,positif
positif,positif
enak sih game nya,positif
gamenya positif,positif
kasih losetreak mulu ken gw sepiin game lu,negatif
positif,positif
positif,positif
positif toon,positif
game sngt hibur,positif
minimal kasi ws kontll,negatif
positif,positif
game nya positif banget ngisi luang,positif
bashh,positif
positif,positif
gamenya udh positif tim positif dark sistem gk tau role mikro makro,positif
game burikbagus,positif
permaina positif,positif
jos h,positif
positif,positif
positif,positif
game positif wajib dwonload sih,positif
positif dg update data,negatif
hibur game,positif
positif positif,positif
positif sih drack sistem,positif
game nya positif,positif
kasih musuh yg drag sistem nonton capekk,positif
game nya bagussaya suka,positif
neng aja,positif
positif,positif
raasis playernya,negatif
singkat aja positif banget plis,positif
,positif
ketemu dark system,negatif
b x veksbdiedej diwwksbus kbduene d lol,positif
positif mohon ngumpulin bp nya mudah,positif
kalo udah ls gak renti renti,positif
main positif apik,positif
sumpah seeuh sih ku negatif bgt main nya,positif
positif,positif
